"NOMBRE_EQUIPO";"ESTADO";"MARCA_EQUIPO";"MODELO_EQUIPO";"SISTEMA_OPERATIVO";"MARCA_PROCESADOR";"MODELO_PROCESADOR";"VELOCIDAD_PROCESADOR";"RAM";"NUMERO_DISCOS";"TIPO_DISCO0";"TIPO_DISCO1";"NUMERO_SERIE"
"LTTDMX00";"ACTIVA";"HP";"245 G8 NOTEBOOK PC";"Microsoft Windows 11 Home Single Language";"AMD";"Ryzen 3 3250U";"2.60 GHz";"8.0 GB";"2";"SSD";"HDD";"5CG1421BP4"
"LTTDMX01";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 11 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8.0 GB";"1";"HDD";"N/A";"CND1318YS"
"LTTDMX02";"ACTIVA";"HP";"PAVILION 15-CW1012LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 3300U";"2.10 GHz";"12.0 GB";"2";"SSD";"HDD";"5CD9348D9P"
"LTTDMX03";"ACTIVA";"ACER";"ASPIRE A515-51";"Microsoft Windows 10 Home Single Language";"Intel";"Core i7-7500UC";"2.70 GHz";"12.0 GB";"1";"HDD";"N/A";"NXGPAAL0017240BBAA3400"
"LTTDMX04";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.0 GHz";"12.0 GB";"1";"HDD";"N/A";"5CD8481MHN"
"LTTDMX05";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 10 Pro";"Intel";"Core i3-1005G1";"2.0 GHz";"8.0 GB";"1";"HDD";"N/A";"CND13182YX"
"LTTDMX06";"ACTIVA";"HP";"PAVILION 15-CW1012LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 3300U";"2.10 GHz";"8.0 GB";"2";"SSD";"HDD";"5CD9345VCR"
"LTTDMX07";"ACTIVA";"DELL";"INSPIRON 5559";"Microsoft Windows 10 Home Single Language";"Intel";"Core i5-6200U";"2.30GHz";"8.0 GB";"1";"HDD";"N/A";"5350FC2"
"LTTDMX08";"ACTIVA";"HP";"NOTEBOOK 15-DA0009LA";"Microsoft Windows 10 Home Single Language";"Intel";"Core i3-72020U";"2.30 GHZ";"8.0 GB";"1";"HDD";"N/A";"CNDB447WFQ"
"LTTDMX09";"ACTIVA";"HP";"245 G8 NOTEBOOK PC";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 3250U";"2.60 GHz";"8 GB";"2";"SSD";"HDD";"5CG1422FGY"
"LTTDMX10";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.0GHz";"12.0 GB";"1";"HDD";"N/A";"5CD8464DWB"
"LTTDMX11";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 10 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8.0 GB";"1";"HDD";"N/A";"CND13182YN"
"LTTDMX12";"ACTIVA";"HP";"PAVILION 15-CW1012LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 7 3700U";"2.30 GHz";"16 GB";"2";"SSD";"HDD";"5CD9177HMH"
"LTTDMX13";"EXTRAVIADA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.30 GHz";"12.0 GB";"1";"HDD";"N/A";
"LTTDMX14";"ACTIVA";"HP";"250 G7 NOTEBOOK PC";"Microsoft Windows 11 Pro";"Intel";"Core i3-1005G1";"1.19 GHz";"8.0 GB";"1";"HDD";"N/A";"CND0443R9W"
"LTTDMX15";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 11 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8.0 GB";"1";"HDD";"N/A";"CND13182Z4"
"LTTDMX16";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.0 GHz";"12 GB";"1";"HDD";"N/A";"5CD8456V3J"
"LTTDMX17";"ACTIVA";"HP";"PAVILION 15-CW1012LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.1 GHz";"12 GB";"2";"SSD";"HDD";"5CD011DMH7"
"LTTDMX18";"ACTIVA";"HP";"250 G7 NOTEBOOK PC";"Microsoft Windows 10 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8 GB";"1";"HDD";"N/A";"CND0443RBR"
"LTTDMX19";"ACTIVA";"HP";"250 G8 Notebook PC";"Microsoft Windows 10 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8 GB";"2";"SSD";"HDD";"CND13182WZ"
"LTTDMX20";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.30 GHz";"12.0 GB";"1";"HDD";;"5CD8478HXD"
"LTTDMX21";"ACTIVA";"DELL";"INSPIRON 3501";"Microsoft Windows 10 Home Single Language";"Intel";"Core i3-1005G0";"1.9 GHz";"11 GB";"1";"HDD";"N/A";"293LGD3"
"LTTDMX22";"ACTIVA";"DELL";"INSPIRON 3501";"Microsoft Windows 11 Home Single Language";"Intel";"Core i3-1005G1";"1.9 GHz";"12 GB";"1";"HDD";"N/A";"763LGD3"
"LTTDMX23";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 10 Pro";"Intel";"Core i3-1005G1";"1.20 GHz";"8 GB";"1";"HDD";"N/A";"CND13182Y5"
"LTTDMX24";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";"Microsoft Windows 11 Pro";"Intel";"Core i3-1005G2";"1.20 GHz";"9 GB";"2";"HDD";;"CND13182ZP"
"LTTDMX25";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.00 GHz";"12 GB";"1";"HDD";"N/A";"5CD8483K83"
"LTTDMX26";"ACTIVA";"HP";"PAVILION 15-CW0007LA";"Microsoft Windows 10 Home Single Language";"AMD";"Ryzen 3 2300U";"2.00 GHz";"12 GB";"1";"SSD";"N/A";"5CD8456V41"
"LTTDMX27";"ACTIVA";"HP";"250 G8 NOTEBOOK PC";;;;;;"2";"SSD";"HDD";"CND13182XC"
"LTTDMX28";"ACTIVA";"HP";"255 G8";"Microsoft Windows 11 Home Single Language";"AMD";;;;;;;"CND3401MBW"
"LTTDMX29";"ACTIVA";"HP";"255 G8";"Microsoft Windows 11 Home Single Language";"AMD";;;;;;;"CND3401M9M"
"LTTDMX30";"ACTIVA";;;;;;;;;;;
"LTTDMX31";"ACTIVA";"HP";"255 G8";;;;;;;;;"CND31525RN"
